worker_id,name,trade,days_worked,daily_wage
W-1001,Ramesh Kumar,Mason,26,550
W-1002,Suresh Yadav,Helper,26,450
W-1003,Dinesh Verma,Helper,26,450
W-1004,GHOST-901,Phantom Worker,26,500
W-1005,GHOST-902,Phantom Worker,26,500
W-1001,Ramesh Kumar,Mason,26,550
W-1006,Mahesh Chand,Operator,45,700
W-1007,Laborer 7,Helper,26,450
W-1008,Laborer 8,Helper,26,450
W-1009,Laborer 9,Helper,26,450
W-1010,Laborer 10,Helper,26,450
W-1011,Laborer 11,Helper,26,450
W-1012,Laborer 12,Helper,26,450
W-1013,Laborer 13,Helper,26,450
W-1014,Laborer 14,Helper,26,450
W-1015,Laborer 15,Helper,26,450
W-1016,Laborer 16,Helper,26,450
W-1017,Laborer 17,Helper,26,450
W-1018,Laborer 18,Helper,26,450
W-1019,Laborer 19,Helper,26,450
W-1020,Laborer 20,Helper,26,450
W-1021,Laborer 21,Helper,26,450
W-1022,Laborer 22,Helper,26,450
W-1023,Laborer 23,Helper,26,450
W-1024,Laborer 24,Helper,26,450
W-1025,Laborer 25,Helper,26,450
W-1026,Laborer 26,Helper,26,450
W-1027,Laborer 27,Helper,26,450
W-1028,Laborer 28,Helper,26,450
W-1029,Laborer 29,Helper,26,450
W-1030,Laborer 30,Helper,26,450
W-1031,Laborer 31,Helper,26,450
